racedate,tvgtrackcode,race,bettinginterestnumber,horsename,morninglineodds,currentodds,winpayout
2020-06-06,cd,1,2,unfading beauty,5,6,15.4
2020-06-06,cd,2,10,sunny isle beach,9/5,3,8.8
2020-06-06,cd,3,4,gentle ruler,4/5,4/5,3.6
2020-06-06,cd,4,1,island song,8/5,3,8.8
2020-06-06,cd,5,9,queen's mason,4,9/2,11
2020-06-06,cd,6,9,pinson,12,9,20.2
2020-06-06,cd,7,1,tipsy gal,4,9/2,11.8
2020-06-06,cd,8,6,volatile,2,1/2,3
2020-06-06,cd,9,5,high crime,7/2,9/5,5.8
2020-06-06,cd,10,2,four graces,5/2,2,6.6
2020-06-06,cd,11,8,queen medb (ire),7/2,5/2,7.8
2020-06-11,cd,3,3,sweet carolina,7/2,2,6.2
2020-06-11,cd,4,7,white wolf,5,6,14.4
2020-06-11,cd,5,7,hard belle,6,16,35.6
2020-06-11,cd,6,6,vintage print,2,5/2,7.4
2020-06-11,cd,7,4,youngest of five,4,9/5,5.6
2020-06-11,cd,8,5,velvet crush,9/2,17,37.4
2020-06-11,cd,9,4,tizahra,5/2,2,6
2020-06-11,cd,1,2,swither's shortcut,5/2,2,6.2
2020-06-11,cd,2,7,thoughtfully,7/5,3/5,3.4
2020-06-20,bel,3,6,indian pride,1,2/5,2.8
2020-06-20,bel,4,1,decorated invader,6/5,3/5,3.2
2020-06-20,bel,5,8,happy saver,3,4,10.8
2020-06-20,bel,6,2,sweet melania,7/5,6/5,4.6
2020-06-20,bel,7,12,speightstown gal,8,9/2,11.2
2020-06-20,bel,8,1,gamine,1,3/5,3.4
2020-06-20,bel,9,2,oleksandra (aus),7/2,2,6.5
2020-06-20,bel,10,8,tiz the law,6/5,4/5,3.6
2020-06-20,bel,11,2,breaking the rules,6,7/2,9.7
2020-06-20,bel,12,10,power up paynter,15,15,33.4
2020-06-06,bel,2,12,bourbon currency,5,3,8.9
2020-06-06,bel,3,2,life changer,10,12,26.8
2020-06-06,bel,4,11,scotty brown,5,4,10.2
